;DATE;WEEK_DAY;MONTH;TIME;ASS_ASSIGNMENT;ASS_ID;CSPL_RECEIVED_CALLS;CSPL_CALLS
1804;(1410, 1, 1, 1, 2011);6;1;1410;Téléphonie;35;0;0
1836;(0, 2, 2, 1, 2011);0;1;0;Téléphonie;35;0;0
1868;(30, 2, 2, 1, 2011);0;1;30;Téléphonie;35;0;0
1900;(60, 2, 2, 1, 2011);0;1;60;Téléphonie;35;0;0
1932;(90, 2, 2, 1, 2011);0;1;90;Téléphonie;35;0;0
1964;(120, 2, 2, 1, 2011);0;1;120;Téléphonie;35;0;0
1996;(150, 2, 2, 1, 2011);0;1;150;Téléphonie;35;0;0
2027;(180, 2, 2, 1, 2011);0;1;180;Téléphonie;35;0;1
2058;(210, 2, 2, 1, 2011);0;1;210;Téléphonie;35;0;0
2089;(240, 2, 2, 1, 2011);0;1;240;Téléphonie;35;0;0
2120;(270, 2, 2, 1, 2011);0;1;270;Téléphonie;35;0;0
2151;(300, 2, 2, 1, 2011);0;1;300;Téléphonie;35;0;0
2182;(330, 2, 2, 1, 2011);0;1;330;Téléphonie;35;0;0
2214;(360, 2, 2, 1, 2011);0;1;360;Téléphonie;35;0;0
2249;(390, 2, 2, 1, 2011);0;1;390;Téléphonie;35;0;0
2286;(420, 2, 2, 1, 2011);0;1;420;Téléphonie;35;0;0
2324;(450, 2, 2, 1, 2011);0;1;450;Téléphonie;35;0;0
2362;(480, 2, 2, 1, 2011);0;1;480;Téléphonie;35;0;0
2400;(510, 2, 2, 1, 2011);0;1;510;Téléphonie;35;0;0
2438;(540, 2, 2, 1, 2011);0;1;540;Téléphonie;35;1;1
2476;(570, 2, 2, 1, 2011);0;1;570;Téléphonie;35;0;0
2514;(600, 2, 2, 1, 2011);0;1;600;Téléphonie;35;0;0
2552;(630, 2, 2, 1, 2011);0;1;630;Téléphonie;35;0;0
2591;(660, 2, 2, 1, 2011);0;1;660;Téléphonie;35;1;1
2629;(690, 2, 2, 1, 2011);0;1;690;Téléphonie;35;2;2
2667;(720, 2, 2, 1, 2011);0;1;720;Téléphonie;35;1;1
2705;(750, 2, 2, 1, 2011);0;1;750;Téléphonie;35;3;3
2743;(780, 2, 2, 1, 2011);0;1;780;Téléphonie;35;3;3
2781;(810, 2, 2, 1, 2011);0;1;810;Téléphonie;35;3;3
2819;(840, 2, 2, 1, 2011);0;1;840;Téléphonie;35;2;2
2857;(870, 2, 2, 1, 2011);0;1;870;Téléphonie;35;0;0
2895;(900, 2, 2, 1, 2011);0;1;900;Téléphonie;35;2;2
2932;(930, 2, 2, 1, 2011);0;1;930;Téléphonie;35;1;1
2969;(960, 2, 2, 1, 2011);0;1;960;Téléphonie;35;2;2
3005;(990, 2, 2, 1, 2011);0;1;990;Téléphonie;35;1;1
3041;(1020, 2, 2, 1, 2011);0;1;1020;Téléphonie;35;2;2
3077;(1050, 2, 2, 1, 2011);0;1;1050;Téléphonie;35;1;1
3112;(1080, 2, 2, 1, 2011);0;1;1080;Téléphonie;35;0;0
3148;(1110, 2, 2, 1, 2011);0;1;1110;Téléphonie;35;0;0
3183;(1140, 2, 2, 1, 2011);0;1;1140;Téléphonie;35;2;2
3218;(1170, 2, 2, 1, 2011);0;1;1170;Téléphonie;35;0;0
3254;(1200, 2, 2, 1, 2011);0;1;1200;Téléphonie;35;0;0
3289;(1230, 2, 2, 1, 2011);0;1;1230;Téléphonie;35;0;0
3325;(1260, 2, 2, 1, 2011);0;1;1260;Téléphonie;35;0;0
3361;(1290, 2, 2, 1, 2011);0;1;1290;Téléphonie;35;1;1
3396;(1320, 2, 2, 1, 2011);0;1;1320;Téléphonie;35;0;0
3428;(1350, 2, 2, 1, 2011);0;1;1350;Téléphonie;35;0;0
3461;(1380, 2, 2, 1, 2011);0;1;1380;Téléphonie;35;2;2
3493;(1410, 2, 2, 1, 2011);0;1;1410;Téléphonie;35;1;1
3523;(0, 3, 3, 1, 2011);1;1;0;Téléphonie;35;0;0
3554;(30, 3, 3, 1, 2011);1;1;30;Téléphonie;35;1;1
3585;(60, 3, 3, 1, 2011);1;1;60;Téléphonie;35;0;0
3615;(90, 3, 3, 1, 2011);1;1;90;Téléphonie;35;1;1
3645;(120, 3, 3, 1, 2011);1;1;120;Téléphonie;35;0;0
3675;(150, 3, 3, 1, 2011);1;1;150;Téléphonie;35;0;0
3705;(180, 3, 3, 1, 2011);1;1;180;Téléphonie;35;0;0
3735;(210, 3, 3, 1, 2011);1;1;210;Téléphonie;35;0;0
3765;(240, 3, 3, 1, 2011);1;1;240;Téléphonie;35;0;0
3795;(270, 3, 3, 1, 2011);1;1;270;Téléphonie;35;0;0
3825;(300, 3, 3, 1, 2011);1;1;300;Téléphonie;35;1;1
3855;(330, 3, 3, 1, 2011);1;1;330;Téléphonie;35;2;2
3885;(360, 3, 3, 1, 2011);1;1;360;Téléphonie;35;0;0
3920;(390, 3, 3, 1, 2011);1;1;390;Téléphonie;35;0;0
3959;(420, 3, 3, 1, 2011);1;1;420;Téléphonie;35;4;4
4002;(450, 3, 3, 1, 2011);1;1;450;Téléphonie;35;0;0
4050;(480, 3, 3, 1, 2011);1;1;480;Téléphonie;35;4;4
4101;(510, 3, 3, 1, 2011);1;1;510;Téléphonie;35;5;5
4153;(540, 3, 3, 1, 2011);1;1;540;Téléphonie;35;7;7
4205;(570, 3, 3, 1, 2011);1;1;570;Téléphonie;35;7;7
4257;(600, 3, 3, 1, 2011);1;1;600;Téléphonie;35;5;5
4309;(630, 3, 3, 1, 2011);1;1;630;Téléphonie;35;3;3
4361;(660, 3, 3, 1, 2011);1;1;660;Téléphonie;35;10;10
4413;(690, 3, 3, 1, 2011);1;1;690;Téléphonie;35;14;14
4465;(720, 3, 3, 1, 2011);1;1;720;Téléphonie;35;3;3
4516;(750, 3, 3, 1, 2011);1;1;750;Téléphonie;35;7;7
4568;(780, 3, 3, 1, 2011);1;1;780;Téléphonie;35;7;7
4620;(810, 3, 3, 1, 2011);1;1;810;Téléphonie;35;5;5
4672;(840, 3, 3, 1, 2011);1;1;840;Téléphonie;35;7;7
4724;(870, 3, 3, 1, 2011);1;1;870;Téléphonie;35;10;10
4776;(900, 3, 3, 1, 2011);1;1;900;Téléphonie;35;9;9
4828;(930, 3, 3, 1, 2011);1;1;930;Téléphonie;35;10;10
4880;(960, 3, 3, 1, 2011);1;1;960;Téléphonie;35;8;8
4931;(990, 3, 3, 1, 2011);1;1;990;Téléphonie;35;5;5
4980;(1020, 3, 3, 1, 2011);1;1;1020;Téléphonie;35;4;4
5027;(1050, 3, 3, 1, 2011);1;1;1050;Téléphonie;35;3;3
5070;(1080, 3, 3, 1, 2011);1;1;1080;Téléphonie;35;5;5
5111;(1110, 3, 3, 1, 2011);1;1;1110;Téléphonie;35;1;1
5152;(1140, 3, 3, 1, 2011);1;1;1140;Téléphonie;35;1;1
5193;(1170, 3, 3, 1, 2011);1;1;1170;Téléphonie;35;0;0
5233;(1200, 3, 3, 1, 2011);1;1;1200;Téléphonie;35;2;2
5272;(1230, 3, 3, 1, 2011);1;1;1230;Téléphonie;35;2;2
5311;(1260, 3, 3, 1, 2011);1;1;1260;Téléphonie;35;4;4
5349;(1290, 3, 3, 1, 2011);1;1;1290;Téléphonie;35;2;2
5388;(1320, 3, 3, 1, 2011);1;1;1320;Téléphonie;35;1;1
5425;(1350, 3, 3, 1, 2011);1;1;1350;Téléphonie;35;3;3
5461;(1380, 3, 3, 1, 2011);1;1;1380;Téléphonie;35;1;1
5497;(1410, 3, 3, 1, 2011);1;1;1410;Téléphonie;35;4;4
5533;(0, 4, 4, 1, 2011);2;1;0;Téléphonie;35;1;1
5569;(30, 4, 4, 1, 2011);2;1;30;Téléphonie;35;1;1
5605;(60, 4, 4, 1, 2011);2;1;60;Téléphonie;35;1;1
5641;(90, 4, 4, 1, 2011);2;1;90;Téléphonie;35;0;0
5677;(120, 4, 4, 1, 2011);2;1;120;Téléphonie;35;0;0
5713;(150, 4, 4, 1, 2011);2;1;150;Téléphonie;35;1;1
5749;(180, 4, 4, 1, 2011);2;1;180;Téléphonie;35;1;1
5785;(210, 4, 4, 1, 2011);2;1;210;Téléphonie;35;0;1
5821;(240, 4, 4, 1, 2011);2;1;240;Téléphonie;35;4;4
5857;(270, 4, 4, 1, 2011);2;1;270;Téléphonie;35;0;0
5893;(300, 4, 4, 1, 2011);2;1;300;Téléphonie;35;2;2
5929;(330, 4, 4, 1, 2011);2;1;330;Téléphonie;35;0;0
5962;(360, 4, 4, 1, 2011);2;1;360;Téléphonie;35;2;2
6000;(390, 4, 4, 1, 2011);2;1;390;Téléphonie;35;3;3
6041;(420, 4, 4, 1, 2011);2;1;420;Téléphonie;35;2;2
6084;(450, 4, 4, 1, 2011);2;1;450;Téléphonie;35;1;1
6133;(480, 4, 4, 1, 2011);2;1;480;Téléphonie;35;5;5
6184;(510, 4, 4, 1, 2011);2;1;510;Téléphonie;35;4;4
6236;(540, 4, 4, 1, 2011);2;1;540;Téléphonie;35;13;14
6288;(570, 4, 4, 1, 2011);2;1;570;Téléphonie;35;12;12
6340;(600, 4, 4, 1, 2011);2;1;600;Téléphonie;35;9;9
6392;(630, 4, 4, 1, 2011);2;1;630;Téléphonie;35;8;8
6444;(660, 4, 4, 1, 2011);2;1;660;Téléphonie;35;11;11
6496;(690, 4, 4, 1, 2011);2;1;690;Téléphonie;35;6;6
6548;(720, 4, 4, 1, 2011);2;1;720;Téléphonie;35;3;3
6599;(750, 4, 4, 1, 2011);2;1;750;Téléphonie;35;10;10
6651;(780, 4, 4, 1, 2011);2;1;780;Téléphonie;35;8;8
6703;(810, 4, 4, 1, 2011);2;1;810;Téléphonie;35;7;7
6755;(840, 4, 4, 1, 2011);2;1;840;Téléphonie;35;4;4
6807;(870, 4, 4, 1, 2011);2;1;870;Téléphonie;35;6;6
6859;(900, 4, 4, 1, 2011);2;1;900;Téléphonie;35;5;5
6911;(930, 4, 4, 1, 2011);2;1;930;Téléphonie;35;5;5
6963;(960, 4, 4, 1, 2011);2;1;960;Téléphonie;35;6;7
7015;(990, 4, 4, 1, 2011);2;1;990;Téléphonie;35;6;6
7064;(1020, 4, 4, 1, 2011);2;1;1020;Téléphonie;35;5;5
7111;(1050, 4, 4, 1, 2011);2;1;1050;Téléphonie;35;4;4
7156;(1080, 4, 4, 1, 2011);2;1;1080;Téléphonie;35;1;1
7199;(1110, 4, 4, 1, 2011);2;1;1110;Téléphonie;35;2;2
7240;(1140, 4, 4, 1, 2011);2;1;1140;Téléphonie;35;0;0
7280;(1170, 4, 4, 1, 2011);2;1;1170;Téléphonie;35;0;0
7319;(1200, 4, 4, 1, 2011);2;1;1200;Téléphonie;35;0;0
7358;(1230, 4, 4, 1, 2011);2;1;1230;Téléphonie;35;3;3
7397;(1260, 4, 4, 1, 2011);2;1;1260;Téléphonie;35;1;1
7437;(1290, 4, 4, 1, 2011);2;1;1290;Téléphonie;35;2;2
7477;(1320, 4, 4, 1, 2011);2;1;1320;Téléphonie;35;0;0
7516;(1350, 4, 4, 1, 2011);2;1;1350;Téléphonie;35;3;3
7555;(1380, 4, 4, 1, 2011);2;1;1380;Téléphonie;35;2;2
7593;(1410, 4, 4, 1, 2011);2;1;1410;Téléphonie;35;2;2
7631;(0, 5, 5, 1, 2011);3;1;0;Téléphonie;35;0;0
7669;(30, 5, 5, 1, 2011);3;1;30;Téléphonie;35;1;1
7707;(60, 5, 5, 1, 2011);3;1;60;Téléphonie;35;1;1
7745;(90, 5, 5, 1, 2011);3;1;90;Téléphonie;35;1;1
7783;(120, 5, 5, 1, 2011);3;1;120;Téléphonie;35;0;0
7821;(150, 5, 5, 1, 2011);3;1;150;Téléphonie;35;0;0
7859;(180, 5, 5, 1, 2011);3;1;180;Téléphonie;35;1;1
7897;(210, 5, 5, 1, 2011);3;1;210;Téléphonie;35;0;0
7935;(240, 5, 5, 1, 2011);3;1;240;Téléphonie;35;1;1
7973;(270, 5, 5, 1, 2011);3;1;270;Téléphonie;35;0;0
8011;(300, 5, 5, 1, 2011);3;1;300;Téléphonie;35;0;0
8049;(330, 5, 5, 1, 2011);3;1;330;Téléphonie;35;1;1
8087;(360, 5, 5, 1, 2011);3;1;360;Téléphonie;35;1;1
8127;(390, 5, 5, 1, 2011);3;1;390;Téléphonie;35;1;1
8171;(420, 5, 5, 1, 2011);3;1;420;Téléphonie;35;0;0
8216;(450, 5, 5, 1, 2011);3;1;450;Téléphonie;35;0;0
8266;(480, 5, 5, 1, 2011);3;1;480;Téléphonie;35;5;5
8317;(510, 5, 5, 1, 2011);3;1;510;Téléphonie;35;4;4
8369;(540, 5, 5, 1, 2011);3;1;540;Téléphonie;35;6;6
8421;(570, 5, 5, 1, 2011);3;1;570;Téléphonie;35;10;10
8473;(600, 5, 5, 1, 2011);3;1;600;Téléphonie;35;6;6
8525;(630, 5, 5, 1, 2011);3;1;630;Téléphonie;35;9;10
8577;(660, 5, 5, 1, 2011);3;1;660;Téléphonie;35;9;9
8629;(690, 5, 5, 1, 2011);3;1;690;Téléphonie;35;9;9
8681;(720, 5, 5, 1, 2011);3;1;720;Téléphonie;35;10;10
8733;(750, 5, 5, 1, 2011);3;1;750;Téléphonie;35;7;7
8785;(780, 5, 5, 1, 2011);3;1;780;Téléphonie;35;3;3
8837;(810, 5, 5, 1, 2011);3;1;810;Téléphonie;35;3;3
8889;(840, 5, 5, 1, 2011);3;1;840;Téléphonie;35;4;4
8941;(870, 5, 5, 1, 2011);3;1;870;Téléphonie;35;14;15
8993;(900, 5, 5, 1, 2011);3;1;900;Téléphonie;35;10;10
9045;(930, 5, 5, 1, 2011);3;1;930;Téléphonie;35;7;7
9097;(960, 5, 5, 1, 2011);3;1;960;Téléphonie;35;7;7
9148;(990, 5, 5, 1, 2011);3;1;990;Téléphonie;35;7;7
9198;(1020, 5, 5, 1, 2011);3;1;1020;Téléphonie;35;9;9
9244;(1050, 5, 5, 1, 2011);3;1;1050;Téléphonie;35;4;4
9290;(1080, 5, 5, 1, 2011);3;1;1080;Téléphonie;35;7;7
9331;(1110, 5, 5, 1, 2011);3;1;1110;Téléphonie;35;5;5
9373;(1140, 5, 5, 1, 2011);3;1;1140;Téléphonie;35;4;4
9415;(1170, 5, 5, 1, 2011);3;1;1170;Téléphonie;35;5;5
9456;(1200, 5, 5, 1, 2011);3;1;1200;Téléphonie;35;2;2
9495;(1230, 5, 5, 1, 2011);3;1;1230;Téléphonie;35;1;1
9533;(1260, 5, 5, 1, 2011);3;1;1260;Téléphonie;35;4;4
9572;(1290, 5, 5, 1, 2011);3;1;1290;Téléphonie;35;2;2
9612;(1320, 5, 5, 1, 2011);3;1;1320;Téléphonie;35;8;8
9652;(1350, 5, 5, 1, 2011);3;1;1350;Téléphonie;35;1;1
9690;(1380, 5, 5, 1, 2011);3;1;1380;Téléphonie;35;1;1
9727;(1410, 5, 5, 1, 2011);3;1;1410;Téléphonie;35;2;2
9762;(0, 6, 6, 1, 2011);4;1;0;Téléphonie;35;1;1
9798;(30, 6, 6, 1, 2011);4;1;30;Téléphonie;35;3;3
9832;(60, 6, 6, 1, 2011);4;1;60;Téléphonie;35;1;1
9866;(90, 6, 6, 1, 2011);4;1;90;Téléphonie;35;2;2
9900;(120, 6, 6, 1, 2011);4;1;120;Téléphonie;35;0;0
9934;(150, 6, 6, 1, 2011);4;1;150;Téléphonie;35;0;0
9968;(180, 6, 6, 1, 2011);4;1;180;Téléphonie;35;0;0
10003;(210, 6, 6, 1, 2011);4;1;210;Téléphonie;35;0;0
10037;(240, 6, 6, 1, 2011);4;1;240;Téléphonie;35;1;1
10071;(270, 6, 6, 1, 2011);4;1;270;Téléphonie;35;3;3
10105;(300, 6, 6, 1, 2011);4;1;300;Téléphonie;35;1;1
10139;(330, 6, 6, 1, 2011);4;1;330;Téléphonie;35;0;0
10174;(360, 6, 6, 1, 2011);4;1;360;Téléphonie;35;2;2
10210;(390, 6, 6, 1, 2011);4;1;390;Téléphonie;35;1;1
10250;(420, 6, 6, 1, 2011);4;1;420;Téléphonie;35;0;0
10296;(450, 6, 6, 1, 2011);4;1;450;Téléphonie;35;2;2
10345;(480, 6, 6, 1, 2011);4;1;480;Téléphonie;35;7;7
10396;(510, 6, 6, 1, 2011);4;1;510;Téléphonie;35;5;5
10448;(540, 6, 6, 1, 2011);4;1;540;Téléphonie;35;7;7
10500;(570, 6, 6, 1, 2011);4;1;570;Téléphonie;35;7;8
10552;(600, 6, 6, 1, 2011);4;1;600;Téléphonie;35;5;6
10604;(630, 6, 6, 1, 2011);4;1;630;Téléphonie;35;8;8
10656;(660, 6, 6, 1, 2011);4;1;660;Téléphonie;35;7;7
10708;(690, 6, 6, 1, 2011);4;1;690;Téléphonie;35;10;11
10760;(720, 6, 6, 1, 2011);4;1;720;Téléphonie;35;7;7
10812;(750, 6, 6, 1, 2011);4;1;750;Téléphonie;35;7;7
10863;(780, 6, 6, 1, 2011);4;1;780;Téléphonie;35;3;3
10915;(810, 6, 6, 1, 2011);4;1;810;Téléphonie;35;4;4
10967;(840, 6, 6, 1, 2011);4;1;840;Téléphonie;35;14;14
11019;(870, 6, 6, 1, 2011);4;1;870;Téléphonie;35;6;6
11071;(900, 6, 6, 1, 2011);4;1;900;Téléphonie;35;9;9
11123;(930, 6, 6, 1, 2011);4;1;930;Téléphonie;35;14;14
11175;(960, 6, 6, 1, 2011);4;1;960;Téléphonie;35;3;3
11226;(990, 6, 6, 1, 2011);4;1;990;Téléphonie;35;8;8
11274;(1020, 6, 6, 1, 2011);4;1;1020;Téléphonie;35;6;6
11320;(1050, 6, 6, 1, 2011);4;1;1050;Téléphonie;35;5;5
11364;(1080, 6, 6, 1, 2011);4;1;1080;Téléphonie;35;6;7
11406;(1110, 6, 6, 1, 2011);4;1;1110;Téléphonie;35;2;2
11448;(1140, 6, 6, 1, 2011);4;1;1140;Téléphonie;35;3;4
11488;(1170, 6, 6, 1, 2011);4;1;1170;Téléphonie;35;1;1
11527;(1200, 6, 6, 1, 2011);4;1;1200;Téléphonie;35;4;4
11564;(1230, 6, 6, 1, 2011);4;1;1230;Téléphonie;35;3;3
11602;(1260, 6, 6, 1, 2011);4;1;1260;Téléphonie;35;4;4
11640;(1290, 6, 6, 1, 2011);4;1;1290;Téléphonie;35;0;0
11678;(1320, 6, 6, 1, 2011);4;1;1320;Téléphonie;35;0;0
11716;(1350, 6, 6, 1, 2011);4;1;1350;Téléphonie;35;0;0
11753;(1380, 6, 6, 1, 2011);4;1;1380;Téléphonie;35;2;2
11788;(1410, 6, 6, 1, 2011);4;1;1410;Téléphonie;35;0;0
11823;(0, 7, 7, 1, 2011);5;1;0;Téléphonie;35;0;0
11858;(30, 7, 7, 1, 2011);5;1;30;Téléphonie;35;0;0
11893;(60, 7, 7, 1, 2011);5;1;60;Téléphonie;35;1;1
11928;(90, 7, 7, 1, 2011);5;1;90;Téléphonie;35;2;2
11963;(120, 7, 7, 1, 2011);5;1;120;Téléphonie;35;0;0
11998;(150, 7, 7, 1, 2011);5;1;150;Téléphonie;35;0;0
12033;(180, 7, 7, 1, 2011);5;1;180;Téléphonie;35;3;3
12068;(210, 7, 7, 1, 2011);5;1;210;Téléphonie;35;2;2
12103;(240, 7, 7, 1, 2011);5;1;240;Téléphonie;35;0;0
12138;(270, 7, 7, 1, 2011);5;1;270;Téléphonie;35;1;1
12173;(300, 7, 7, 1, 2011);5;1;300;Téléphonie;35;0;0
12208;(330, 7, 7, 1, 2011);5;1;330;Téléphonie;35;1;1
12243;(360, 7, 7, 1, 2011);5;1;360;Téléphonie;35;0;0
12279;(390, 7, 7, 1, 2011);5;1;390;Téléphonie;35;1;1
12318;(420, 7, 7, 1, 2011);5;1;420;Téléphonie;35;2;2
12362;(450, 7, 7, 1, 2011);5;1;450;Téléphonie;35;1;1
12412;(480, 7, 7, 1, 2011);5;1;480;Téléphonie;35;1;1
12464;(510, 7, 7, 1, 2011);5;1;510;Téléphonie;35;6;6
12516;(540, 7, 7, 1, 2011);5;1;540;Téléphonie;35;6;6
12568;(570, 7, 7, 1, 2011);5;1;570;Téléphonie;35;8;8
12620;(600, 7, 7, 1, 2011);5;1;600;Téléphonie;35;10;10
12672;(630, 7, 7, 1, 2011);5;1;630;Téléphonie;35;9;9
12724;(660, 7, 7, 1, 2011);5;1;660;Téléphonie;35;15;16
12777;(690, 7, 7, 1, 2011);5;1;690;Téléphonie;35;14;14
12830;(720, 7, 7, 1, 2011);5;1;720;Téléphonie;35;13;13
12882;(750, 7, 7, 1, 2011);5;1;750;Téléphonie;35;7;7
12934;(780, 7, 7, 1, 2011);5;1;780;Téléphonie;35;8;8
12986;(810, 7, 7, 1, 2011);5;1;810;Téléphonie;35;7;7
13038;(840, 7, 7, 1, 2011);5;1;840;Téléphonie;35;5;5
13090;(870, 7, 7, 1, 2011);5;1;870;Téléphonie;35;9;9
13142;(900, 7, 7, 1, 2011);5;1;900;Téléphonie;35;12;12
13194;(930, 7, 7, 1, 2011);5;1;930;Téléphonie;35;8;8
13246;(960, 7, 7, 1, 2011);5;1;960;Téléphonie;35;8;8
13297;(990, 7, 7, 1, 2011);5;1;990;Téléphonie;35;13;13
13346;(1020, 7, 7, 1, 2011);5;1;1020;Téléphonie;35;4;4
13393;(1050, 7, 7, 1, 2011);5;1;1050;Téléphonie;35;6;6
13437;(1080, 7, 7, 1, 2011);5;1;1080;Téléphonie;35;3;3
13481;(1110, 7, 7, 1, 2011);5;1;1110;Téléphonie;35;2;2
13525;(1140, 7, 7, 1, 2011);5;1;1140;Téléphonie;35;0;0
13568;(1170, 7, 7, 1, 2011);5;1;1170;Téléphonie;35;2;2
13611;(1200, 7, 7, 1, 2011);5;1;1200;Téléphonie;35;1;1
13652;(1230, 7, 7, 1, 2011);5;1;1230;Téléphonie;35;3;3
13692;(1260, 7, 7, 1, 2011);5;1;1260;Téléphonie;35;2;2
13733;(1290, 7, 7, 1, 2011);5;1;1290;Téléphonie;35;3;3
13774;(1320, 7, 7, 1, 2011);5;1;1320;Téléphonie;35;1;1
13815;(1350, 7, 7, 1, 2011);5;1;1350;Téléphonie;35;2;2
13856;(1380, 7, 7, 1, 2011);5;1;1380;Téléphonie;35;0;0
13896;(1410, 7, 7, 1, 2011);5;1;1410;Téléphonie;35;1;1
13936;(0, 8, 8, 1, 2011);6;1;0;Téléphonie;35;2;4
13976;(30, 8, 8, 1, 2011);6;1;30;Téléphonie;35;0;0
14016;(60, 8, 8, 1, 2011);6;1;60;Téléphonie;35;2;2
14056;(90, 8, 8, 1, 2011);6;1;90;Téléphonie;35;0;0
14096;(120, 8, 8, 1, 2011);6;1;120;Téléphonie;35;0;0
14136;(150, 8, 8, 1, 2011);6;1;150;Téléphonie;35;0;0
14176;(180, 8, 8, 1, 2011);6;1;180;Téléphonie;35;1;1
14216;(210, 8, 8, 1, 2011);6;1;210;Téléphonie;35;0;0
14256;(240, 8, 8, 1, 2011);6;1;240;Téléphonie;35;0;0
14296;(270, 8, 8, 1, 2011);6;1;270;Téléphonie;35;0;0
14336;(300, 8, 8, 1, 2011);6;1;300;Téléphonie;35;0;0
14376;(330, 8, 8, 1, 2011);6;1;330;Téléphonie;35;0;0
14416;(360, 8, 8, 1, 2011);6;1;360;Téléphonie;35;3;3
14457;(390, 8, 8, 1, 2011);6;1;390;Téléphonie;35;1;1
14498;(420, 8, 8, 1, 2011);6;1;420;Téléphonie;35;0;0
14540;(450, 8, 8, 1, 2011);6;1;450;Téléphonie;35;0;0
14581;(480, 8, 8, 1, 2011);6;1;480;Téléphonie;35;3;3
14622;(510, 8, 8, 1, 2011);6;1;510;Téléphonie;35;4;4
14664;(540, 8, 8, 1, 2011);6;1;540;Téléphonie;35;4;4
14706;(570, 8, 8, 1, 2011);6;1;570;Téléphonie;35;3;3
14748;(600, 8, 8, 1, 2011);6;1;600;Téléphonie;35;7;7
14790;(630, 8, 8, 1, 2011);6;1;630;Téléphonie;35;5;5
14832;(660, 8, 8, 1, 2011);6;1;660;Téléphonie;35;3;3
14874;(690, 8, 8, 1, 2011);6;1;690;Téléphonie;35;5;5
